b_no	b_name	b_division	b_author	b_count	b_page	b_exp
1	위키백과, 우리 모두의 백과사전	1	정철, 진주완, 류철	6	141	위키백과Wikipedia는 누구나 참여해 지식을 구성할 수 있고, 누구나 무료로 자유롭게 이용할 수 있는 온라인 백과사전이다. 종이로 출판되던 대부분의 백과사전이 존재감을 잃은 지금, 위키백과...
2	정오의 사색(정인조 수필집)	1	정인조	10	442	수필은 '마음의 산책'이라고 하는데, 정인조 선생의 수필이 바로 그렇다. 그의 수필 '물 소리 돌 소리'를 읽으면, 삶의 깊은 성찰과 관조가 특히 돋보인다. 그는 계곡에 흐르는 물과 돌을 두고서...
3	우리가 정말 알아야 할 우리 음식 백가지 2	1	한복진	8	303	옛 문헌과 각종 자료를 바탕으로 한국 전통 음식의 유래와 전해오는 이야기,맛의 비결, 옛 문헌에 나오는 조리법, 쉽고 맛있게 만드는 법에 이르기까지우리 음식과 음식 문화를 흥미로우면서...
4	교육 강연집(지식을 만드는 지식고전선집)	1	마르틴부버	6	359	지식을 만드는 고전중 최고
5	어드밴처 타임 백과사전	1	마틴올슨	3	475	세계적 애니메이션 채널 카툰네트워크의 인기 애니메이션인 <핀과 제이크의 어드벤처 타임>을 속속들이 전하는 백과사전이다.
6	문헌정보학 이론과 원칙	1	정동열, 김성진	10	587	한국도서관협회의 걸작 문헌정보학 이론과 원칙
7	영어 연설문집	1	이승윤	8	270	서강대 교수, 재무부 장관, 경제부총리를 지낸 저자가 공직을 지내오는 동안 국제사회에서 행한 영어를 통한 연설과 언론인터뷰를 엮은 책이다. 이 영어연설문집은 다섯 챕터로 나뉘어져 있다.
8	정신분석과 위니코트의 육아 강연집	1	도널드위니코트	9	426	정신분석가 도널드 위니코트가 영국 BBC 방송에서 20년간 펼쳤던 육아 강연의 핵심을 엮은 책이다. ‘육아에 대한 성찰’이자 ‘엄마의 내면에 대한 탐구’이며 사랑과 미움, 밝음과 어둠이 공...
9	이상전집 제3권 수필집	1	이상	3	490	이상은 세계적으로 손꼽을 만큼 특별하고 매혹적인 작가로서 그의 수필 창작집 복간판을 소장하는 것 자체만으로도 의미 있는 일이라고 생각된다. 무엇보다 이상의 *수필*들은 생활인으로서...
10	상대적이며 절대적인 지식의 백과사전	1	베르나르 베르베르	0	405	베르베르 특유의 상상력으로 넘치는 이 지식 만화는 단순히 교양을 전달하는 데서 머무르지 않고 우리에게 발상과 인식의 전환을 요구한다.
11	니체의 인간학	2	나카지마 요시미치	2	133	강해지고 싶다면 니체를 통과해야 한다!니체는 자신의 저서 곳곳에서 ‘착한 사람’을 혹독하게 비판해왔다. 니체가 비판하는 ‘착한 사람’이란 약하고, 안전을 추구하고, 동정하고, 거짓말...
12	유가 인간학	2	렁청진	7	382	CEO를 위한 인간학 시리즈」제1편.「CEO를 위한 인간학 시리즈」는 유가, 도가, 법가, 병가, 종횡가와 같은 사상, 논어, 맹자, 대학, 중용과 같은 고전, 그리고 사마천, 도쿠카와 이에야스, 강희제,...
13	하룻밤에 읽는 동양 철학	2	양승권	5	296	전작 『니체와 장자는 이렇게 말했다』(2020 세종도서 교양 부문)로 독자들의 호응을 얻은 철학자 양승권이, 『하룻밤에 읽는 동양 철학』을 출간했다. 흐름을 담되 암기하지 않는다는 ‘하룻...
14	생각을 키우는 동양 철학 이야기	2	장스완	4	227	중국과 한국을 오가는 고전 전문가인 저자는 어렵게만 느껴졌던 동양 철학을 가벼운 이야기 모음으로 풀어냈다. 우물 안의 삶을 뽐내는 개구리 이야기에서 세상을 보는 안목을 키우고, 손이 ...
15	만화로 보는 3분 철학 1	2	김재훈, 서정욱	3	404	지금까지 이런 철학 만화는 없었다! 철학의 기초 개념을 잡는 가장 쉬운 책! 만화로 3분이면 완벽하게 개념 잡는 서양철학사! 인문학과 철학의 중요성이 강조되는 시대지만 정작 어디부터 공부...
16	코어 논리학	2	이병덕	2	432	논리학을 차근차근 체계적으로 이해해보려는 입문자 PSAT와 LEET를 준비하는 예비 공직자와 법조인 등 현대인을 위한 가장 기본적이며 실용적인 논리학 교과서
17	마음의 법칙	2	폴커 키츠, 마누엘 투쉬	8	128	심리학의 핵심은 ‘사람의 마음은 어떻게 작동하는 것일까?’ 하는 질문이다. 우리는 소중한 시간을 아주 다양한 일에 쓰면서도 이 질문만큼은 거의 다루지 않는다. 그 어떤 문제보다도 우리...
18	심리학이 불안에 답하다	2	황양밍, 장린린	2	222	이 책의 저자는 대중 심리학자다. 강의와 연구 활동 외에도 TV 프로그램에 출연하고, 영상과 팟캐스트를 제작하며, 책이나 칼럼도 쓴다. 모두 다 심리학 지식을 조금이라도 더 알리기 위해서다....
19	딸에게 보내는 심리학 편지	2	한성희	2	198	40년간 마음이 아픈 사람들을 치유해 온 정신분석 전문의가 사랑하는 딸에게 보내는 37가지 심리학의 지혜를 담은 『딸에게 보내는 심리학 편지』. 저자는 딸이 공부를 위해 떠난 미국에서 직...
20	니코마코스 윤리학	2	아리스토텔리스	5	383	이 책은 인간의 행복은 어디에서 오고, 어떻게 가능하며, 유지되고 발전하는가를 아리스토텔레스가 스스로 이해하고 강의하기 위해 정리한 글이다. 1차로는 아리스토텔레스의 제자 에우데모...
21	간디와 비교종교	3	셰샤기리 라오	10	316	간디와 비교종교
22	세상에서 가장 쉬운 불교	3	자현	8	420	세상에서 가장 쉬운 불교
23	철학자의 불교 공부 노트	3	지지엔즈	1	192	철학자의 불교 공부 노트
24	모두를 위한 기독교 교양	3	손성찬	10	347	당신의 기독교 신앙은 어떻게 시작되었는지 떠올려 보자. 모태 신앙이었는가? 어릴 적, 교회 다니는 친구의 초대를 받아 ‘친구 초청 잔치’에 간 것이 첫 교회 방문이었는가? 진리를 찾아 여...
25	신도, 일본 정신의 고향	3	C. 스콧 리틀턴	10	501	신도, 일본 정신의 고향
26	힌두교 사상에서 실천까지	3	가빈 플러드	4	267	힌두교란 무엇인가’라는 질문을 시작으로 비슈누, 쉬바, 여신들에 대한 고대 기원에서부터 힌두 전통 발전의 측면을 더듬어간다. 하나의 세계 종교이자 민족주의의 한 형태로서 힌두교가 논...
27	이슬람주의와 이슬람교	3	바삼 티비	9	342	이슬람주의와 이슬람교』는 이슬람교와 이슬람주의의 차이점을 부각하여 설명한 책이다. 저자는 자신의 연구 결과를 통해 이슬람주의와 이슬람교 사이에 존재하는 인식의 오류를 밝히며, 이...
28	교양으로 읽는 세계종교사	3	시마다 히로미	2	368	이 책은 종교학자인 저자가 세계 종교의 기본 지식을 알기 쉽게 설명하고 있다. 세계 종교사의 흐름을 한눈에 알 수 있으며, 종교의 기원과 전개, 발전, 쇠퇴 등 각 종교의 본질적인 특징은 물...
29	도교 사상	3	가미쓰카 요시코	7	145	도교라는 말이 포괄하는 내용은 폭이 넓고 다양하다. 도교 경전을 보아도 그 내용은 철학적이거나 교리적인 것부터 여러 가지 민간신앙에 이르기까지 다채롭기 그지없으며, 유교에 가까운 내...
30	불교와 전통문화사상	3	금강대학교 불교문화연구소	9	450	불교와 전통문화사상은 한중일 삼국의 전통문화사상과 불교가 교류하여 변용된 모습을 살펴본 결과를 담은 책이다. 불교와 각 지역의 전통문화사상이 교류하여 상호적으로 어떤 영향을 주었...
31	통계학, 빅데이터를 잡다	4	조재근	5	444	인문학과 경제학ㆍ건축ㆍ수학ㆍ의학ㆍ과학의 만남에 이어, 통계학과 다른 학문과의 만남을 다룬 ‘융합과 통섭의 지식 콘서트’ 시리즈 제6권 『통계학, 빅데이터를 잡다』가 출간된다. 제4...
32	행동경제학	4	리처드 탈러	5	500	행동경제학
33	사회의 사회학	4	김덕영	4	196	막스 베버의 『프로테스탄티즘의 윤리와 자본주의 정신』과 게오르그 짐멜의 『돈의 철학』을 비롯한 사회학 고전들을 꾸준히 번역해온 재야의 사회학자 김덕영이 한국에서 사회학이란 어떤...
34	펀더멘탈 정치학 1	4	김희철	2	519	행정고시, 입법고시, 국립외교원 등 각종 시험 대비가 가능한 『펀더멘탈 정치학』 제1권 기본이론 편. 5급 공채 일반 행정직의 필수과목인 정치학을 준비하는 사람들을 위한 교재이다. 이론은...
35	재미있는 행정학	4	박경효	4	230	재미있는 행정학
36	법학 입문 민사법 1	4	김해마루	7	394	민사법은 여러 법리가 복잡하게 얽혀 있기 때문에, 처음부터 조문이 배치된 순서로 한 부분씩 차례로 공부하다 보면 숲을 놓치게 되는 경우가 많다. 그래서 본격적인 공부에 들어가기 전에 민...
37	함께하는 교육학 2 논술이론편	4	전태련, 박지영	10	234	함께하는 교육학. 2 논술이론편은 〈교육평가 & 교육연구〉, 〈교육행정〉, 〈교육사회학〉등을 수록하고 있는 책이다.
38	민속학 첫걸음	4	강정원, 정형호	3	546	이 책은 민속학에 대한 기본 입문서의 성격을 지닌다. 기존의 민속학 개설서나 개론서는 대학 교재용으로 만들어졌기에 일반인들이 쉽게 이해하기에는 어려움이 많았다. 또한 많은 사람들이 ...
39	미래전의 희망, 국방 로봇	4	김진오, 엄홍섭, 장상국	8	114	미래전의 희망, 국방 로봇
40	군사학개론	4	군사학연구회	1	290	『군사학개론』은 군사에 대해 다룬 도서이며 〈군사학이란 무엇인가?〉, 〈군사학 연구와 교육〉, 〈국가 안정보장〉 등을 수록하고 있어 기초적이고 전반적인 내용을 확인할 수 있다.
41	수학 진짜 잘하는 아이는 읽고 씁니다	5	박정희, 이혜준, 홍성영	4	144	이 책의 지은이들은 아이들의 수학적 사고력을 발전시키는 방법을 고민하다, 수학동화 읽기와 탐구노트 쓰기의 학습 효과에 주목하게 되었다.
42	어떻게 물리학을 사랑하지 않을 수 있을까	5	짐 알칼릴리	1	470	어떻게 물리학을 사랑하지 않을 수 있을까?는 대중과 과학을 연결하는 과학 커뮤니케이터이자 서리대학교 이론물리학 교수가 물리학이라는 학문의 매력을 하나하나 짚어나가는 책이다. 마치 ...
43	교양으로 배우는 생활화학	5	김운중	8	334	교양으로 배우는 생활화학
44	한국 전문학 연구	5	유권석	9	549	한국 전문학 연구
45	광물학 노트	5	윤정한	4	149	광물학 노트
46	캠벨 생명과학	5	Urry	3	308	캠벨 생명과학
47	처음 읽는 식물의 세계사	5	리처드 메이비	10	588	처음 읽는 식물의 세계사
48	가드닝을 위한 식물학	5	제프 호지	9	352	아파트 베란다에서 여러 화분을 키우는 일에서 수목원을 방불케 하는 넓은 정원의 조경까지, 또는 마당 한켠에서 가족이 먹을 푸성귀를 키우는 것 모두 가드닝이다. 식물은 열매와 뿌리를 우...
49	산책이 그리운 이유	5	김병훈	15	487	산책이 그리운 이유
50	기발한 동물학개론	5	니콜라 쿠하르스카	10	100	동물은 왜 그렇게 생겼을까? 동물의 몸속에선 어떤 일이 일어나고 있을까? 동물은 어떤 생각을 할까? 동물에 대한 호기심과 상상력을 채워 줄 유쾌한 동물책이 여러분을 놀라운 동물의 세계로 ...
51	진료실에 숨은 의학의 역사	6	박지욱	8	179	불과 200년 전까지만 해도 워털루 전투에 참전하는 것보다 수술대에 가는 것이 사망 확률이 더 높았을 정도로 19세기 이전의 의학은 위험천만한 것이었다. 산과 의사들은 시체를 부검하던 손을 ...
52	농업경제학	6	한국농업경제학회	7	145	농업경제학은 농업경제를 보다 쉽게 이해할 수 있도록 구성한 책으로, 총 6부로 구성되어 있다. 국민경제와 농업, 농산물시장과 정책, 농산물 유통과 식품산업, 협동조합과 농업금융, 자원과 ...
