L_no	u_no	b_no
1	7	77
2	10	29
3	16	73
4	9	73
5	12	91
6	18	6
7	2	79
8	2	78
9	8	62
10	5	24
11	7	3
12	18	90
13	1	59
14	6	16
15	4	60
16	15	10
17	20	23
18	18	71
19	8	43
20	4	44
21	12	68
22	12	45
23	19	67
24	18	80
25	17	54
26	13	62
27	4	58
28	11	14
29	14	64
30	15	63
31	14	40
32	2	58
33	7	83
34	4	49
35	17	38
36	16	82
37	13	17
38	2	43
39	6	8
40	15	25
41	19	51
42	10	50
43	10	8
44	14	58
45	18	49
46	8	60
47	11	21
48	13	100
49	13	95
50	15	21
51	7	94
52	13	77
53	14	3
54	9	32
55	16	12
56	8	98
57	17	1
58	19	8
59	8	78
60	18	99
61	11	44
62	6	99
63	1	10
64	15	71
65	18	21
66	5	10
67	5	54
68	16	68
69	20	52
70	1	65
71	19	59
72	19	31
73	16	14
74	10	84
75	11	13
76	11	91
77	2	89
78	15	34
79	16	72
80	13	25
81	13	48
82	3	93
83	11	54
84	2	53
85	19	53
86	6	56
87	8	40
88	7	2
89	19	74
90	20	58
91	18	59
92	19	76
93	9	2
94	17	9
95	18	38
96	14	69
97	7	81
98	18	19
99	2	37
100	3	38
101	8	89
102	9	91
103	10	56
104	14	47
105	3	91
106	11	7
107	8	50
108	19	20
109	3	41
110	16	26
111	13	13
112	18	69
113	3	88
114	8	100
115	5	15
116	3	66
117	15	15
118	17	87
119	2	15
120	16	27
121	15	66
122	8	84
123	1	95
124	10	12
125	1	30
126	9	36
127	3	80
128	1	84
129	18	4
130	2	30
131	15	52
132	11	93
133	5	55
134	15	4
135	17	59
136	11	94
137	5	33
138	12	9
139	10	52
140	17	62
141	19	14
142	1	11
143	4	12
144	9	16
145	18	83
146	6	100
147	6	48
148	5	38
149	10	95
150	2	21
151	12	80
152	12	7
153	13	78
154	16	9
155	13	81
156	1	63
157	16	69
158	19	71
159	8	13
160	5	40
161	3	31
162	10	66
163	19	33
164	11	28
165	6	52
166	18	35
167	4	38
168	4	88
169	7	56
170	17	73
171	16	84
172	14	74
173	18	98
174	8	36
175	10	58
176	14	88
177	14	18
178	8	25
179	18	60
180	15	18
181	3	58
182	12	31
183	12	67
184	8	32
185	18	40
186	15	62
187	6	68
188	2	23
189	8	11
190	5	8
191	6	25
192	19	69
193	14	62
194	20	89
195	18	17
196	18	85
197	19	86
198	1	3
199	19	82
200	4	36
201	11	70
202	8	69
