r_no	u_no	b_no	r_date	r_count	r_reading	r_returnDay
1	9	8	2023-03-02	6	408	2023-03-08
2	19	28	2023-03-02	6	297	2023-03-08
3	13	17	2023-03-05	2	70	2023-03-07
4	1	17	2023-03-05	0	123	2023-03-05
5	5	7	2023-03-05	2	185	2023-03-07
6	3	19	2023-03-05	0	109	2023-03-05
7	15	18	2023-03-07	3	126	2023-03-10
8	7	48	2023-03-07	3	107	2023-03-10
9	13	39	2023-03-08	1	108	2023-03-09
10	4	41	2023-03-08	1	144	2023-03-09
11	1	39	2023-03-09	6	40	2023-03-15
12	5	31	2023-03-09	6	218	2023-03-15
13	11	55	2023-03-09	4	472	2023-03-13
14	1	100	2023-03-09	2	1	2023-03-11
15	1	88	2023-03-09	0	161	2023-03-09
16	15	36	2023-03-09	6	69	2023-03-15
17	11	44	2023-03-09	6	189	2023-03-15
18	8	55	2023-03-09	4	22	2023-03-13
19	2	94	2023-03-09	2	413	2023-03-11
20	17	99	2023-03-09	0	306	2023-03-09
21	4	51	2023-03-10	4	178	
22	13	76	2023-03-10	4	233	
23	4	97	2023-03-10	6	142	2023-03-16
24	13	17	2023-03-10	2	123	2023-03-12
25	17	49	2023-03-10	0	222	2023-03-10
26	17	8	2023-03-10	0	178	2023-03-10
27	16	16	2023-03-10	6	39	2023-03-16
28	15	4	2023-03-10	2	270	2023-03-12
29	11	25	2023-03-10	0	494	2023-03-10
30	18	12	2023-03-10	0	370	2023-03-10
31	19	47	2023-03-11	4	36	2023-03-15
32	9	49	2023-03-11	3	380	2023-03-14
33	6	86	2023-03-11	3	191	2023-03-14
34	1	9	2023-03-11	2	490	2023-03-13
35	9	8	2023-03-11	0	187	2023-03-11
36	6	45	2023-03-11	4	108	2023-03-15
37	2	49	2023-03-11	3	482	2023-03-14
38	18	17	2023-03-11	3	17	2023-03-14
39	4	93	2023-03-11	2	51	2023-03-13
40	14	70	2023-03-11	0	16	2023-03-11
41	1	16	2023-03-12	0	16	
42	6	39	2023-03-12	0	106	
43	12	66	2023-03-12	6	29	2023-03-18
44	17	8	2023-03-12	5	211	2023-03-17
45	9	53	2023-03-12	2	167	2023-03-14
46	1	10	2023-03-12	2	273	2023-03-14
47	20	1	2023-03-12	6	38	2023-03-18
48	2	25	2023-03-12	5	501	2023-03-17
49	9	21	2023-03-12	2	114	2023-03-14
50	15	6	2023-03-12	2	359	2023-03-14
51	4	49	2023-03-13	6	105	
52	19	53	2023-03-13	6	172	
53	4	60	2023-03-13	4	279	2023-03-17
54	1	35	2023-03-13	3	1	2023-03-16
55	4	17	2023-03-13	1	53	2023-03-14
56	5	42	2023-03-13	4	470	2023-03-17
57	16	32	2023-03-13	3	500	2023-03-16
58	15	39	2023-03-13	1	114	2023-03-14
59	17	97	2023-03-14	2	142	2023-03-16
60	1	49	2023-03-14	2	100	2023-03-16
61	4	97	2023-03-14	1	113	2023-03-15
62	3	52	2023-03-14	2	144	2023-03-16
63	2	29	2023-03-14	2	67	2023-03-16
64	8	74	2023-03-14	1	255	2023-03-15
65	2	66	2023-03-15	5	43	2023-03-20
66	13	83	2023-03-15	4	530	2023-03-19
67	13	97	2023-03-15	2	130	2023-03-17
68	13	60	2023-03-15	5	200	2023-03-20
69	17	25	2023-03-15	4	175	2023-03-19
70	15	37	2023-03-15	2	153	2023-03-17
71	1	45	2023-03-16	1	87	2023-03-17
72	11	53	2023-03-16	0	156	2023-03-16
73	12	39	2023-03-16	1	24	2023-03-17
74	16	11	2023-03-16	0	35	2023-03-16
75	13	97	2023-03-17	3	66	2023-03-20
76	11	17	2023-03-17	2	90	2023-03-19
77	8	98	2023-03-17	3	80	2023-03-20
78	14	100	2023-03-17	2	439	2023-03-19
79	6	47	2023-03-18	6	233	2023-03-24
