s_no	date	depart	arrival	departTime	timeTaken	price
1	2023-02-01	53	48	15:50	5:02	280140
2	2023-02-01	9	40	21:36	6:43	440440
3	2023-02-01	17	44	11:45	5:16	408100
4	2023-02-01	66	38	22:33	5:02	233940
5	2023-02-01	38	59	15:07	5:16	234300
6	2023-02-01	18	30	20:09	5:31	382720
7	2023-02-01	39	58	11:45	6:57	316390
8	2023-02-01	43	21	15:36	5:31	452410
9	2023-02-01	68	49	12:43	6:43	414960
10	2023-02-01	52	23	10:04	6:14	426400
11	2023-02-01	61	4	16:04	7:12	424800
12	2023-02-01	33	12	14:24	7:12	392700
13	2023-02-01	63	59	20:38	5:45	407520
14	2023-02-01	64	40	20:24	5:31	361330
15	2023-02-01	3	63	13:55	5:02	382620
16	2023-02-01	40	9	12:57	6:14	272740
17	2023-02-01	54	6	12:14	6:28	489780
18	2023-02-01	55	66	17:31	6:28	529470
19	2023-02-01	4	12	15:36	6:00	446000
20	2023-02-01	49	26	13:12	5:16	346500
21	2023-02-01	57	32	22:48	6:43	407680
22	2023-02-01	26	63	21:36	6:28	497340
23	2023-02-01	28	21	10:19	6:43	497280
24	2023-02-01	23	48	11:31	6:57	449210
25	2023-02-01	66	45	9:50	5:31	358340
26	2023-02-01	4	48	14:24	6:43	472920
27	2023-02-01	10	68	15:21	5:31	230690
28	2023-02-01	46	32	10:33	6:14	313300
29	2023-02-01	41	49	14:09	5:45	306480
30	2023-02-01	50	68	19:40	6:57	559990
31	2023-02-01	19	39	11:31	5:02	356370
32	2023-02-01	40	58	18:14	7:12	503700
33	2023-02-01	55	9	20:38	5:02	217140
34	2023-02-01	8	32	16:33	4:48	215600
35	2023-02-01	23	67	17:02	5:16	383900
36	2023-02-01	20	66	16:19	6:00	483000
37	2023-02-01	12	66	23:02	5:02	352800
38	2023-02-01	24	49	12:43	6:43	403480
39	2023-02-01	66	6	15:07	6:28	379350
40	2023-02-01	14	26	13:12	5:45	460080
41	2023-02-01	8	70	16:48	6:43	389480
42	2023-02-01	6	7	20:09	7:12	346200
43	2023-02-01	64	52	19:12	6:28	309420
44	2023-02-01	21	50	22:33	6:43	452200
45	2023-02-01	27	48	9:50	6:43	545720
46	2023-02-01	66	22	10:33	5:31	339480
47	2023-02-01	31	28	9:50	5:45	381840
48	2023-02-01	2	3	18:00	6:28	378000
49	2023-02-01	46	48	14:09	5:16	277420
50	2023-02-01	1	62	20:24	7:12	582300
51	2023-02-01	17	61	23:16	6:14	308100
52	2023-02-01	51	16	12:43	5:16	246620
53	2023-02-01	68	29	13:12	5:02	395430
54	2023-02-01	65	70	13:26	6:14	461500
55	2023-02-01	27	33	10:04	6:43	291200
56	2023-02-01	10	55	19:40	6:00	443750
57	2023-02-01	66	28	20:52	6:00	463500
58	2023-02-01	45	57	22:04	5:16	273020
59	2023-02-01	16	8	13:40	7:12	431700
60	2023-02-01	30	67	12:14	6:14	494000
61	2023-02-01	26	27	16:19	6:00	266750
62	2023-02-01	24	58	16:48	5:45	250080
63	2023-02-01	61	44	17:02	6:43	486080
64	2023-02-01	61	62	11:31	5:31	448500
65	2023-02-01	29	5	15:07	6:28	522450
66	2023-02-01	42	9	20:24	6:14	485680
67	2023-02-01	33	40	19:26	4:48	239800
68	2023-02-01	56	9	14:24	5:16	301620
69	2023-02-01	53	11	20:09	5:31	456780
70	2023-02-01	14	10	20:24	6:57	352640
71	2023-02-01	15	50	12:57	5:16	329340
72	2023-02-01	5	65	17:02	5:45	451920
73	2023-02-01	14	17	11:45	6:57	294060
74	2023-02-01	51	21	15:50	5:45	387120
75	2023-02-01	42	12	12:28	6:00	268750
76	2023-02-01	2	18	23:45	6:57	428910
77	2023-02-01	25	56	18:00	5:31	443670
78	2023-02-01	12	69	22:33	5:02	231000
79	2023-02-01	37	7	13:55	6:57	332340
80	2023-02-01	67	5	23:16	4:48	249600
81	2023-02-01	57	7	17:16	5:45	395760
82	2023-02-01	63	2	23:02	4:48	206000
83	2023-02-01	17	58	22:33	5:02	388080
84	2023-02-01	10	45	12:43	6:00	380750
85	2023-02-01	10	27	12:00	7:12	518700
86	2023-02-01	32	5	11:31	6:57	492710
87	2023-02-01	43	29	12:00	5:02	297990
88	2023-02-01	44	12	23:45	5:16	311740
89	2023-02-01	66	41	18:57	5:45	339360
90	2023-02-01	47	42	17:45	6:57	558250
