r_no	u_no	s_no	income	expense
1	141	495	1159	0
2	94	2591	7246	0
3	154	395	2318	0
4	60	14997	579	0
5	123	678	18550	0
6	207	3312	6956	0
7	184	6216	0	20289
8	92	12033	19710	0
9	95	3245	0	13140
10	174	1886	6086	0
11	53	13534	8502	0
12	89	11715	2125	0
13	119	8337	0	6666
14	207	5755	2318	0
15	131	4015	7536	0
16	126	13265	31400	0
17	141	10383	1739	0
18	145	9548	11594	0
19	39	3348	0	10628
20	134	5506	0	35169
21	136	4575	0	16425
22	39	3659	0	4057
23	6	10548	0	3478
24	27	3598	0	7439
25	57	12809	0	9468
26	1	10788	0	0
27	136	5554	0	0
28	149	12996	0	193
29	49	6054	0	36231
30	18	9757	0	0
31	96	10981	0	16811
32	82	13624	0	9661
33	47	7096	0	7342
34	87	8620	0	17004
35	181	13884	0	2512
36	136	5175	0	7246
37	100	6742	0	20869
38	191	9687	0	24347
39	100	14294	0	10144
40	185	9226	0	1932
41	88	13234	0	4637
42	59	5735	0	17391
43	170	12465	0	16231
44	123	5899	0	8695
45	160	4282	0	11014
46	208	9565	0	21739
47	182	829	0	16231
48	20	9444	0	2512
49	122	9065	0	16328
50	30	9201	0	4251
51	44	11370	0	2705
52	11	9486	0	8502
53	88	6477	0	8792
54	47	15109	0	0
55	197	9059	0	5797
56	201	15455	0	12753
57	183	2287	0	13526
58	208	448	0	1159
59	55	11803	0	3188
60	196	14311	0	386
61	202	5130	0	11497
62	102	4732	0	10628
63	79	13504	0	22995
64	180	11953	0	3768
65	203	9285	0	2125
66	123	7001	0	6763
67	158	7634	0	6570
68	17	3222	0	7536
69	29	5979	0	0
70	44	1696	0	0
71	129	1319	0	21739
72	173	406	0	9275
73	35	7130	0	6280
74	143	575	0	26376
75	145	12895	0	17777
76	7	1858	0	483
77	212	9022	0	27053
78	131	5376	0	4057
79	181	5970	0	6956
80	92	4749	0	2801
81	14	14981	0	772
82	61	6623	0	3768
83	72	1807	0	1932
84	143	6053	0	0
85	54	11341	0	7536
86	114	4007	0	6183
87	69	9237	0	27053
88	121	4928	0	23188
89	74	1449	0	42028
90	77	2438	0	2318
91	55	7972	0	11594
92	131	1729	0	4444
93	106	4312	0	0
94	160	10563	0	772
95	64	14165	0	3091
96	37	612	0	2705
97	60	13969	0	5797
98	108	9087	0	5797
99	94	8576	0	0
100	171	12066	0	0
101	46	12106	0	6956
102	67	10440	0	1352
103	77	5148	0	14879
104	96	6650	0	966
105	57	535	0	10048
106	13	2467	0	10434
107	181	12127	0	4637
108	48	8665	0	0
109	189	6099	0	1932
110	173	1218	0	39130
111	183	40	0	7729
112	141	10543	0	10821
113	30	13495	9855	0
114	112	1605	8792	0
115	116	9293	10821	0
116	74	2763	2898	0
117	154	6826	0	2318
118	95	8351	4830	0
119	190	1578	10434	0
120	170	13272	772	0
121	119	13755	869	0
122	198	3890	10821	0
123	95	12825	30144	0
124	209	9583	4057	0
125	106	2400	386	0
126	172	11906	5217	0
127	137	3017	5797	0
128	183	15042	7342	0
129	199	2964	2898	0
130	96	6723	29758	0
131	149	8185	5024	0
132	104	11864	2898	0
133	38	9167	18550	0
134	30	12356	16811	0
135	80	12896	30434	0
136	82	4461	2318	0
137	209	13223	25700	0
138	7	4015	8115	0
139	194	2420	2705	0
140	30	8748	0	4830
141	194	8949	20000	0
142	84	14975	17777	0
143	158	2240	26086	0
144	56	4602	26570	0
145	91	10880	34782	0
146	111	560	6763	0
147	74	334	37874	0
148	123	4338	966	0
149	194	8524	1159	0
150	17	6162	7536	0
151	63	12080	1739	0
152	57	7770	1932	0
153	83	10672	0	3381
154	155	2127	13043	0
155	145	7828	289	0
156	112	8570	0	5410
157	6	2274	16521	0
158	138	9572	1159	0
159	37	1867	10821	0
160	83	4051	17584	0
161	87	11906	1449	0
162	1	7194	26570	0
163	26	3180	31400	0
164	163	5949	9468	0
165	86	2776	20289	0
166	10	5650	17004	0
167	119	2027	9661	0
168	207	7781	1545	0
169	183	8721	36231	0
170	59	3854	10434	0
171	16	10205	4637	0
172	21	5255	0	15942
173	46	10232	9275	0
174	3	10618	2512	0
175	55	14564	1159	0
176	204	11193	7729	0
177	5	5016	20289	0
178	93	4919	2028	0
179	137	5335	8695	0
180	133	9113	22028	0
181	176	4996	18840	0
182	111	2311	9661	0
183	198	7549	18260	0
184	102	1951	2028	0
185	214	14932	10048	0
186	152	9522	9178	0
187	57	9373	6086	0
188	203	9042	5314	0
189	58	14717	3768	0
190	114	7079	579	0
191	69	13142	0	17584
192	162	1797	1159	0
193	114	8925	3864	0
194	200	2679	19323	0
195	59	13322	0	17004
196	162	6162	1932	0
197	67	8611	0	31304
198	58	14535	0	7536
199	128	8044	12173	0
200	100	81	0	5217
201	32	12879	1932	0
202	111	302	6956	0
203	103	12549	18937	0
204	49	11633	0	386
205	55	6202	9275	0
206	76	10143	24347	0
207	67	15304	37874	0
208	186	8269	8115	0
209	191	4398	7729	0
210	153	10111	20096	0
211	164	5931	3188	0
212	64	3367	14879	0
213	120	12717	2318	0
214	168	5542	17391	0
215	28	334	966	0
216	203	876	14879	0
217	199	5461	27632	0
218	212	8081	1545	0
219	13	7808	9661	0
220	114	10079	4637	0
221	200	500	2028	0
222	2	6065	869	0
223	158	14762	28985	0
224	133	4527	3864	0
225	186	13345	16231	0
226	88	10827	16328	0
227	205	692	1739	0
228	12	9092	0	4057
229	30	4834	4251	0
230	168	11718	12560	0
231	21	5421	4637	0
232	122	8162	11594	0
233	197	10872	4251	0
234	166	8658	4347	0
235	82	3063	7246	0
236	95	3182	26376	0
237	12	3380	39130	0
238	64	7387	3478	0
239	147	5866	21256	0
240	13	12957	1352	0
241	124	2594	24154	0
242	183	9295	9855	0
243	122	7836	579	0
244	168	1706	6376	0
245	203	57	0	16231
246	177	13467	1739	0
247	190	14768	28019	0
248	111	3096	2608	0
249	84	13137	7246	0
250	25	14073	5797	0
251	138	9716	35169	0
252	61	3488	24347	0
253	149	15529	25700	0
254	153	6750	36425	0
255	203	2075	6956	0
256	123	7532	2512	0
257	183	339	0	3864
258	64	10911	4830	0
259	90	13021	193	0
260	99	993	33623	0
261	167	9411	3671	0
262	44	13331	23188	0
263	177	7518	10144	0
264	94	11078	37681	0
265	25	5624	772	0
266	137	6508	8695	0
267	3	1210	19710	0
268	104	13547	0	1932
269	175	469	1256	0
270	176	8485	8115	0
271	163	7930	0	23864
272	61	5504	0	7246
273	208	109	5410	0
274	67	7387	22028	0
275	109	844	18937	0
276	116	7710	19323	0
277	62	13020	10628	0
278	1	834	0	966
279	184	2807	10821	0
280	190	14310	2898	0
281	213	5275	6956	0
282	172	14615	3478	0
283	19	6133	8695	0
284	74	3892	24154	0
285	40	4894	4734	0
286	81	2399	2608	0
287	48	9349	17584	0
288	180	9472	0	1352
289	114	10888	20289	0
290	185	14813	24637	0
291	155	10863	14492	0
292	34	11693	6376	0
293	170	2954	772	0
294	81	3108	4830	0
295	95	2094	6956	0
296	182	3909	2028	0
297	163	7795	10821	0
298	12	4135	11594	0
299	175	13130	1449	0
300	79	4962	22318	0
301	182	6469	25120	0
302	138	6018	0	5603
303	84	14210	0	2898
304	84	13352	5797	0
305	132	5360	13333	0
306	189	13913	5797	0
307	92	11554	10144	0
308	81	15371	28405	0
309	144	9017	16521	0
310	58	5009	24444	0
311	80	15098	6086	0
312	196	1906	2028	0
313	130	7116	18550	0
314	3	2260	4057	0
315	141	11194	10434	0
316	115	7927	3091	0
317	128	10532	0	3188
318	94	2001	5797	0
319	178	6801	4637	0
320	13	3357	16231	0
321	2	4344	676	0
322	50	7071	6763	0
323	31	571	0	0
324	120	2537	27826	0
325	141	3574	0	7536
326	47	14092	1352	0
327	82	12276	40579	0
328	142	14491	13913	0
329	14	5278	6086	0
330	161	4103	18937	0
331	50	14795	5217	0
332	211	5567	31400	0
333	88	1302	2705	0
334	58	11577	3864	0
335	14	10204	3864	0
336	192	5054	19130	0
337	128	1641	6763	0
338	124	12689	32657	0
339	184	6644	7826	0
340	96	12732	37681	0
341	75	12428	10048	0
342	57	7170	5797	0
343	22	15155	24347	0
344	89	12207	30434	0
345	180	4084	16231	0
346	52	1892	5797	0
347	175	2318	15458	0
348	143	4829	14492	0
349	16	12956	483	0
350	9	280	4251	0
351	157	13761	11304	0
352	189	4881	0	10434
353	184	12431	12173	0
354	32	7978	23188	0
355	1	1286	0	0
356	190	9337	22995	0
357	185	4983	18357	0
358	38	7355	2801	0
359	136	14114	3478	0
360	17	8306	16811	0
361	15	11136	12753	0
362	125	10615	14202	0
363	72	13075	4347	0
364	161	8296	19323	0
365	145	5238	9565	0
366	77	8821	4347	0
367	56	14057	7729	0
368	101	4882	17584	0
369	83	11065	966	0
370	129	10934	2512	0
371	85	11829	7729	0
372	159	6472	10434	0
373	73	10108	1449	0
374	62	1007	3864	0
375	153	12624	4637	0
376	86	5232	10821	0
377	111	8327	27826	0
378	112	7701	13526	0
379	177	7012	23188	0
380	75	6742	12173	0
381	182	8780	1449	0
382	135	4956	13816	0
383	120	4306	42028	0
384	116	12153	0	1159
385	67	5283	1932	0
386	6	3062	1352	0
387	4	5467	4830	0
388	150	961	6086	0
389	172	8233	8502	0
390	37	9499	16231	0
391	132	2354	11594	0
392	62	10957	4927	0
393	132	12354	8792	0
394	214	10845	16231	0
395	159	12457	2801	0
396	9	12260	8792	0
397	68	6583	9565	0
398	85	7019	1352	0
399	101	10347	13913	0
400	193	7060	8695	0
401	109	15084	13333	0
402	4	8720	11594	0
403	101	7361	0	7439
404	216	12228	3478	0
405	27	12284	0	1449
406	72	8640	32657	0
407	93	9853	1062	0
408	60	7081	4347	0
409	99	9205	40579	0
410	54	11740	7536	0
411	188	11369	0	15942
412	85	251	13333	0
413	177	5786	18067	0
414	113	10579	4927	0
415	34	7727	9661	0
416	207	14326	12850	0
417	133	5889	4347	0
418	45	3469	28985	0
419	186	7099	11594	0
420	73	13776	9275	0
421	54	300	9565	0
422	38	5601	28019	0
423	166	5535	26570	0
424	124	12726	0	2318
425	212	9900	15652	0
426	98	11972	6086	0
427	92	8015	29758	0
428	109	2838	22415	0
429	19	13559	966	0
430	184	4010	4637	0
431	91	13170	26666	0
432	146	13829	2125	0
433	117	8306	3478	0
434	52	11790	30434	0
435	100	5829	0	1932
436	175	3434	8888	0
437	135	710	23188	0
438	88	8584	20000	0
439	99	13558	1159	0
440	63	6866	8792	0
441	138	8214	9275	0
442	172	9798	0	10144
443	88	10524	17391	0
444	12	6106	19710	0
445	196	8088	4637	0
446	209	3084	11304	0
447	20	9395	193	0
448	116	15350	43478	0
449	108	13516	0	6280
450	87	2495	16231	0
451	61	11268	17391	0
452	203	5756	13140	0
453	113	422	289	0
454	200	2982	32463	0
455	131	12920	15652	0
456	187	14216	7729	0
457	16	1894	6376	0
458	126	13032	1449	0
459	19	5374	966	0
460	173	8160	0	12173
461	147	13861	7826	0
462	57	14106	8888	0
463	151	11968	15072	0
464	29	12800	2318	0
465	161	4730	2512	0
466	74	82	20096	0
467	70	5478	17777	0
468	123	10286	6956	0
469	158	463	10144	0
470	76	14391	12367	0
471	86	5174	2415	0
472	22	11733	4347	0
473	149	6593	7246	0
474	204	6315	0	7246
475	27	1693	6280	0
476	144	71	23864	0
477	1	13379	0	4057
478	68	15047	1739	0
479	85	5646	19613	0
480	172	12783	2222	0
481	136	10477	23188	0
482	168	9586	15072	0
483	198	12324	22318	0
484	183	7172	8502	0
485	103	9617	3671	0
486	73	10068	4830	0
487	185	109	4251	0
488	99	4609	1159	0
489	140	10769	1159	0
490	183	11485	8212	0
491	6	11042	676	0
492	116	5724	18260	0
493	162	14380	13913	0
494	126	11113	4830	0
495	172	11123	8695	0
496	140	10919	3188	0
497	15	5068	2318	0
498	48	9240	11014	0
499	105	12244	2705	0
500	105	12111	1159	0
501	41	260	1352	0
502	65	3186	579	0
503	9	10568	7729	0
504	184	8715	0	2028
505	159	4723	4347	0
506	156	6536	36231	0
507	97	6463	10434	0
508	172	10195	18937	0
509	57	15298	3381	0
510	168	11762	4251	0
511	110	8916	11207	0
512	23	13925	32463	0
513	39	6339	289	0
514	4	13801	20869	0
515	110	11175	20869	0
516	31	15054	10048	0
517	192	14890	7536	0
518	28	3856	27053	0
519	107	6537	7729	0
520	176	9889	676	0
521	126	13951	5797	0
522	171	3756	8695	0
523	4	8547	0	579
524	76	8860	6666	0
525	198	13064	11304	0
526	70	10587	17584	0
527	176	1894	13913	0
528	175	841	7729	0
529	2	1842	14782	0
530	188	6433	11594	0
531	86	13432	4734	0
532	14	7223	2125	0
533	109	12404	11594	0
534	159	6257	4251	0
535	57	8245	16231	0
536	150	12034	23188	0
537	144	13506	0	10628
538	180	1558	1159	0
539	24	15291	13043	0
540	156	4815	3091	0
541	212	15385	13913	0
542	173	13370	14685	0
543	64	3539	13526	0
544	59	15249	9468	0
545	36	729	579	0
546	159	13409	7729	0
547	146	10564	0	13333
548	131	14651	2415	0
549	34	9560	12367	0
550	1	11529	20096	0
551	10	4210	20096	0
552	14	663	14879	0
553	156	10432	19613	0
554	178	5055	15942	0
555	18	1592	676	0
556	204	9072	11594	0
557	159	13968	4830	0
558	51	6101	39227	0
559	107	14860	16811	0
560	116	313	2705	0
561	108	3232	96	0
562	167	1946	4347	0
563	49	9085	15458	0
564	105	12023	7826	0
565	63	3965	24347	0
566	120	6270	0	0
567	137	5261	6376	0
568	52	8473	24444	0
569	22	12247	28985	0
570	17	5491	3188	0
571	87	9740	0	4444
572	73	12088	0	29758
573	81	1482	10434	0
574	199	480	2125	0
575	178	3472	9275	0
576	17	2625	1352	0
577	76	15506	7729	0
578	65	9866	2705	0
579	51	7472	1159	0
580	187	1669	19323	0
581	4	2606	22608	0
582	135	8797	0	3478
583	205	7688	17004	0
584	190	9161	6956	0
585	173	1859	11111	0
586	146	3588	7246	0
587	166	5380	32657	0
588	157	1295	11594	0
589	168	7022	12173	0
590	118	5967	2705	0
591	2	8794	8695	0
592	202	15418	12173	0
593	164	11529	14492	0
594	6	10704	26376	0
595	83	3168	9275	0
596	175	1696	0	966
597	49	5998	6183	0
598	11	4204	39227	0
599	213	15051	10144	0
600	66	14378	8115	0
