n_no	c_no	code	nationName	x	y
1	1	KOR	대한민국	546	357
2	1	MNG	몽골	484	289
3	1	MMR	미얀마	467	397
4	1	UZB	우즈베키스탄	332	321
5	1	IND	인도	410	395
6	1	IDN	인도네시아	503	499
7	1	JPN	일본	633	345
8	1	CHN	중국	486	347
9	1	KAZ	카자흐스탄	381	282
10	1	TPE	타이완	579	399
11	1	PAK	파키스탄	425	355
12	1	PHL	필리핀	576	434
13	2	GRC	그리스	433	495
14	2	NOR	노르웨이	337	285
15	2	DNK	덴마크	346	351
16	2	DEU	독일	355	381
17	2	RUS	러시아	550	304
18	2	ROU	루마니아	478	456
19	2	SWE	스웨덴	403	230
20	2	GBR	영국	301	380
21	2	UKR	우크라이나	472	416
22	2	ITA	이탈리아	372	463
23	2	CZE	체코	392	421
24	2	PRT	포르투갈	223	503
25	2	FRA	프랑스	296	428
26	2	FIN	핀란드	430	283
27	3	LBN	레바논	273	174
28	3	SAU	사우디아라비아	387	319
29	3	SYR	시리아	333	161
30	3	AFG	아프가니스탄	637	189
31	3	YEM	예멘	435	446
32	3	JOR	요르단	328	223
33	3	IRQ	이라크	387	192
34	3	IRN	이란	508	197
35	3	ISR	이스라엘	262	206
36	3	QAT	카타르	475	323
37	3	KWT	쿠웨이트	453	253
38	3	TUR	터키	301	102
39	4	RSA	남아프리카공화국	506	485
40	4	NER	니제르	382	194
41	4	LBY	리비아	422	130
42	4	MAR	모로코	288	95
43	4	SEN	세네갈	273	211
44	4	SOM	소말리아	583	269
45	4	SDN	수단	478	202
46	4	DZA	알제리	349	122
47	4	ETH	에티오피아	569	244
48	4	EGY	이집트	487	134
49	4	KEN	케냐	541	292
50	5	GRL	그린란드	653	103
51	5	USA	미국	455	372
52	5	CAN	캐나다	405	283
53	6	DOM	도미니카공화국	488	62
54	6	MEX	멕시코	281	38
55	6	VEN	베네수엘라	469	139
56	6	BOL	볼리비아	481	272
57	6	BRA	브라질	530	241
58	6	SUR	수리남	539	152
59	6	ARG	아르헨티나	461	406
60	6	ECU	에콰도르	364	200
61	6	URY	우루과이	539	385
62	6	COL	콜롬비아	415	166
63	6	GTM	과테말라	302	96
64	6	CUB	쿠바	399	39
65	6	PAN	파나마	361	134
66	6	PRY	파라과이	497	307
67	6	PER	페루	403	220
68	7	NZL	뉴질랜드	608	455
69	7	AUS	오스트레일리아	380	322
70	7	PNG	파푸아뉴기니	455	196
